,"(((B,N),L),K)","(((B,N),K),L)","(B,N),(L,K)","(((B,L),N),K)","(((B,L),K),N)","(B,L),(N,K)","(((B,K),N),L)","(((B,K),L),N)","(B,K),(N,L)","(((N,L),B),K)","(((N,L),K),B)","(((N,K),B),L)","(((N,K),L),B)","(((L,K),B),N)","(((L,K),N),B)",Non-monophyletic,Poor-resolution,name,disp,ne,time,int
archsim_m0.0001_n200000_e800000_i100000_mak,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,archsim_m0.0001_n200000_e800000_i100000_mak,00001,200000,800000,100000
archsim_m15_n100000_e800000_i50000_mak,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,27,archsim_m15_n100000_e800000_i50000_mak,15,100000,800000,50000
archsim_m20_n50000_e200000_i100000_mak,9,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,archsim_m20_n50000_e200000_i100000_mak,20,50000,200000,100000
archsim_m10_n100000_e200000_i200000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m10_n100000_e200000_i200000_mak,10,100000,200000,200000
archsim_m80_n100000_e200000_i50000_mak,2,0,1,43,0,0,0,0,0,0,0,0,0,0,0,2,2,archsim_m80_n100000_e200000_i50000_mak,80,100000,200000,50000
archsim_m50_n200000_e800000_i400000_mak,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,12,archsim_m50_n200000_e800000_i400000_mak,50,200000,800000,400000
archsim_m30_n200000_e200000_i200000_mak,9,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4,archsim_m30_n200000_e200000_i200000_mak,30,200000,200000,200000
archsim_m0.0001_n100000_e3200000_i200000_mak,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,archsim_m0.0001_n100000_e3200000_i200000_mak,00001,100000,3200000,200000
archsim_m60_n50000_e800000_i400000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,archsim_m60_n50000_e800000_i400000_mak,60,50000,800000,400000
archsim_m50_n50000_e400000_i100000_mak,10,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,4,archsim_m50_n50000_e400000_i100000_mak,50,50000,400000,100000
archsim_m30_n100000_e200000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m30_n100000_e200000_i50000_mak,30,100000,200000,50000
archsim_m0.0001_n50000_e200000_i100000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m0.0001_n50000_e200000_i100000_mak,00001,50000,200000,100000
archsim_m15_n200000_e800000_i25000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,archsim_m15_n200000_e800000_i25000_mak,15,200000,800000,25000
archsim_m80_n50000_e1600000_i100000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,40,archsim_m80_n50000_e1600000_i100000_mak,80,50000,1600000,100000
archsim_m60_n50000_e3200000_i200000_mak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,archsim_m60_n50000_e3200000_i200000_mak,60,50000,3200000,200000
archsim_m0.0001_n200000_e200000_i100000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m0.0001_n200000_e200000_i100000_mak,00001,200000,200000,100000
archsim_m60_n50000_e200000_i100000_mak,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,3,archsim_m60_n50000_e200000_i100000_mak,60,50000,200000,100000
archsim_m50_n100000_e3200000_i50000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,archsim_m50_n100000_e3200000_i50000_mak,50,100000,3200000,50000
archsim_m30_n50000_e1600000_i25000_mak,6,0,17,7,0,0,0,0,0,0,0,0,0,0,0,2,18,archsim_m30_n50000_e1600000_i25000_mak,30,50000,1600000,25000
archsim_m80_n100000_e400000_i25000_mak,9,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,archsim_m80_n100000_e400000_i25000_mak,80,100000,400000,25000
archsim_m50_n200000_e400000_i25000_mak,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,archsim_m50_n200000_e400000_i25000_mak,50,200000,400000,25000
archsim_m15_n200000_e400000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m15_n200000_e400000_i50000_mak,15,200000,400000,50000
archsim_m60_n200000_e800000_i50000_mak,23,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,5,archsim_m60_n200000_e800000_i50000_mak,60,200000,800000,50000
archsim_m60_n100000_e200000_i100000_mak,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,2,3,archsim_m60_n100000_e200000_i100000_mak,60,100000,200000,100000
archsim_m10_n100000_e1600000_i25000_mak,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,archsim_m10_n100000_e1600000_i25000_mak,10,100000,1600000,25000
archsim_m50_n100000_e3200000_i200000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,archsim_m50_n100000_e3200000_i200000_mak,50,100000,3200000,200000
archsim_m30_n100000_e3200000_i200000_mak,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,47,archsim_m30_n100000_e3200000_i200000_mak,30,100000,3200000,200000
archsim_m50_n200000_e3200000_i100000_mak,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,archsim_m50_n200000_e3200000_i100000_mak,50,200000,3200000,100000
archsim_m50_n100000_e1600000_i400000_mak,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,43,archsim_m50_n100000_e1600000_i400000_mak,50,100000,1600000,400000
archsim_m30_n100000_e800000_i25000_mak,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,archsim_m30_n100000_e800000_i25000_mak,30,100000,800000,25000
archsim_m60_n100000_e400000_i200000_mak,10,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1,10,archsim_m60_n100000_e400000_i200000_mak,60,100000,400000,200000
archsim_m100_n100000_e3200000_i100000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,archsim_m100_n100000_e3200000_i100000_mak,100,100000,3200000,100000
archsim_m40_n50000_e1600000_i100000_mak,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,33,archsim_m40_n50000_e1600000_i100000_mak,40,50000,1600000,100000
archsim_m60_n200000_e400000_i50000_mak,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,1,archsim_m60_n200000_e400000_i50000_mak,60,200000,400000,50000
archsim_m0.0001_n50000_e800000_i400000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m0.0001_n50000_e800000_i400000_mak,00001,50000,800000,400000
