newgeorgia	malaita	makira	bukida
-100.0	0.0	0.630137	-98.5037
-100.0	0.0	2.0	-17.9375
0.0	0.0	-95.7143	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	-96.9697	1.0
0.0	0.0	0.285714	-100.0
-1.81818	1.0	0.91358	-100.0
-3.57143	0.0	2.0	-100.0
-100.0	0.0	1.97183	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.16923	-17.1282
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-98.9583	0.0	0.0	-100.0
-100.0	0.0	0.666667	-33.1618
0.0	0.0	1.3125	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-25.3478
0.0	0.625	2.0	-100.0
-100.0	0.0	0.0	-19.6591
0.0	0.0	0.105263	-100.0
-1.36986	0.0	0.0	-100.0
-1.51515	0.0	1.75	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.93443	-100.0
0.0	0.0	2.0	-100.0
0.0	0.968254	2.0	-100.0
0.0	1.0	1.25	-100.0
-100.0	0.0	0.0	-100.0
-100.0	0.0	0.0	-17.493
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.1875	-0.442857
0.0	0.0	2.0	-100.0
-100.0	0.0	0.837838	-6.92157
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
-100.0	-46.6102	0.0	-100.0
0.0	0.0	1.44118	-100.0
-100.0	0.0	0.0	-2.60714
0.0	0.763636	0.52459	-100.0
-100.0	0.726027	1.26667	-25.1011
-100.0	0.0	0.0333333	1.0
-1.31579	1.0	1.97619	-100.0
-100.0	0.0	2.0	-0.77193
-100.0	0.0	1.01754	1.0
-100.0	0.0	0.0	-12.2895
0.0	0.0175439	0.0	-100.0
0.0	0.0	0.307692	-100.0
0.0	0.0	0.901961	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.31429	-100.0
