newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
0.00102055	0.000242684	0.000195609	0.000858783	294	44	31	117
0.00156796	0.001223	0.0014511	0.00164671	221	66	204	78
0.000729735	0.00142822	0.00123791	0.0018512	45	85	142	306
0.00161192	0.00146357	0.000890399	0.00171165	158	30	55	129
0.00129761	0.000849105	0.000827528	0.00133372	93	37	57	342
0.00159087	0.00149622	0.00114478	0.00148442	225	68	142	175
0.00167225	0.00132107	0.00109656	0.00153654	199	87	37	106
0.00178632	0.00149698	0.00120899	0.00187458	119	68	137	172
0.00162721	0.00139682	0.000864105	0.00160771	237	109	42	203
0.00134582	0.0015331	0.00119104	0.00165759	84	96	101	365
0.00160973	0.00155577	0.00131155	0.00176353	67	134	34	296
0.00172743	0.00139712	0.00135795	0.00183255	93	104	75	94
0.00128923	0.00104906	0.000992706	0.00158064	71	93	143	153
0.00174448	0.00128221	0.00157266	0.00189974	83	56	60	109
0.00119867	0.00119997	0.00063974	0.00110914	151	35	46	118
0.0013934	0.000967905	0.00102095	0.00161651	179	106	45	247
0.0016883	0.00160575	0.000644058	0.00198754	87	143	60	255
0.00162364	0.000877357	0.00102005	0.00162338	404	144	153	180
0.00175487	0.00131867	0.00115927	0.00169131	275	70	103	119
0.00166207	0.000592883	0.00103061	0.0017576	38	53	114	143
0.00171396	0.0013763	0.00152247	0.00195048	275	74	172	195
0.00159597	0.00145408	0.000910272	0.00194191	87	101	65	347
0.00179405	0.00154967	0.00136893	0.0017942	231	127	31	80
0.00157467	0.00079147	0.00121042	0.00161829	205	109	154	126
0.00184458	0.00161697	0.000697282	0.00172145	111	53	92	117
0.00171	0.00126278	0.00160748	0.00197744	162	46	53	219
0.00123486	0.00131071	0.000265511	0.00164712	112	108	73	132
0.00154195	0.0011985	0.00124964	0.00171711	114	132	121	238
0.00182479	0.00158132	0.00150358	0.00187052	139	58	280	263
0.00174676	0.000816686	0.000775558	0.00159777	119	28	87	116
0.0016378	0.00152611	0.0013692	0.00160806	88	132	57	58
0.00141046	0.00151965	0.00136411	0.0014715	99	140	72	182
0.00125479	0.00112526	0.00122211	0.00185608	116	72	70	253
0.00187345	0.00159335	0.00127562	0.00139486	305	87	52	199
0.00183011	0.00146203	0.00139756	0.0018331	304	60	85	105
0.00155561	0.00138929	0.000830862	0.00194336	84	120	107	306
0.00158281	0.00103442	0.00061646	0.00164044	111	140	43	137
0.00132116	0.00114001	0.000845509	0.00152959	187	84	24	99
0.00149838	0.00127088	0.00086628	0.00161339	46	71	96	248
0.0017726	0.00123332	0.000413461	0.00196793	131	76	74	128
0.00177686	0.000796568	0.000538994	0.00198688	467	61	43	270
0.00146742	0.00141002	0.000646491	0.00185805	293	38	65	323
0.00146125	0.00138728	0.0011996	0.00158185	73	56	117	103
0.00164716	0.00155213	0.00170005	0.0018162	90	146	143	224
0.0012942	0.00117599	0.0012994	0.00188002	312	44	58	195
0.0015301	0.00153432	0.00131293	0.00153092	165	112	111	166
0.00140082	0.00111072	0.00131601	0.00156315	193	52	154	349
0.0013592	0.00118596	0.000597559	0.00165218	102	145	75	164
0.00185301	0.00144041	0.00114124	0.00176829	253	67	109	203
0.00150493	0.00117659	0.000524269	0.00181291	221	180	37	213
0.00153648	0.00157363	0.00151728	0.0016519	143	79	169	92
0.00128442	0.00158806	0.00112887	0.00152062	31	188	113	259
0.00123585	0.00131199	0.00113091	0.00176544	110	141	74	162
0.00191649	0.00144816	0.00089841	0.0017771	403	72	50	160
0.00168231	0.00146381	0.000341986	0.00177527	93	177	59	182
0.00143111	0.00169935	0.00131827	0.0020588	273	34	62	271
0.00157512	0.00121536	0.000335527	0.00157165	237	124	45	282
0.00125292	0.00113185	0.000596212	0.00129237	309	133	89	156
0.00158188	0.00139978	0.000257667	0.00151762	153	95	36	55
0.00149269	0.00113382	0.00147411	0.00168852	420	30	143	105
0.00171629	0.000612387	0.00112128	0.00194427	83	85	54	341
0.00173058	0.0015168	0.00070402	0.00180886	138	75	57	204
0.00164646	0.00109585	0.000229463	0.0016841	272	31	29	149
0.00161022	0.000770779	0.00120628	0.00190873	72	40	67	226
0.001933	0.00142273	0.00135388	0.00187723	245	62	102	312
0.0014295	0.00142272	0.0012795	0.00178702	168	51	104	315
0.0014887	0.00107949	0.000642515	0.00202938	49	169	29	296
0.00171439	0.00159261	0.0014049	0.00190124	134	62	64	272
0.00158384	0.00160539	0.000958398	0.00145815	95	79	54	174
0.00171247	0.00159045	0.00120477	0.00175247	144	101	58	156
0.00168138	0.0013922	0.000851684	0.00160435	194	50	132	398
0.00144669	0.00119352	0.00113711	0.00150626	231	74	48	141
0.00180808	0.00123644	0.000464544	0.00165316	169	161	40	260
0.00132475	0.00133714	0.00101608	0.00148882	110	25	118	189
0.0016975	0.00124017	0.000953473	0.00173162	206	81	103	109
0.00145984	0.00100153	0.00128087	0.00155269	205	48	144	334
0.00168537	0.00147398	0.000892629	0.00177414	114	85	69	200
0.00160728	0.00114213	0.00125753	0.00163453	238	67	53	238
0.00168052	0.00112909	0.001277	0.00188108	193	27	90	435
0.0017419	0.00147487	0.00128803	0.00180346	69	52	45	137
0.00137823	0.0012802	0.000551021	0.00161687	196	61	19	335
0.00179044	0.00166353	0.000598584	0.00188468	231	78	50	216
0.00140193	0.00131821	0.00121951	0.00168949	183	142	156	165
0.00141064	0.00144838	0.000796108	0.00156026	185	83	68	150
0.00119749	0.00143857	0.00167563	0.00188257	155	217	229	149
0.00166823	0.00137051	0.000878078	0.00183755	239	91	64	141
0.00138595	0.00136841	0.00125687	0.00157704	80	103	123	136
0.00174665	0.00168485	0.00141374	0.00196446	128	89	55	266
0.00146614	0.00123645	0.000592109	0.00167252	72	120	42	277
0.00151731	0.00145237	0.00107142	0.00166138	171	102	72	114
0.0016372	0.00161147	0.00101622	0.00191107	42	188	123	358
0.0015165	0.00155059	0.00114652	0.00171708	59	142	191	235
0.00152112	0.00047706	0.00123622	0.00176363	317	79	219	277
0.00154478	0.000710529	0.0011089	0.0015534	247	49	161	91
0.00158287	0.0009908	0.000910376	0.00173054	132	63	83	135
0.00173729	0.0014647	0.00116776	0.00189298	140	93	55	151
0.00182572	0.000875	0.000409665	0.00141907	258	187	76	102
0.00176563	0.00127231	0.000407483	0.00196978	154	74	92	241
0.00184848	0.00154598	0.00118704	0.00185973	238	164	47	122
0.00157391	0.0015083	0.00146816	0.00153008	83	251	144	164
0.0016937	0.00175364	0.00101949	0.00182915	153	127	76	223
0.00163959	0.0015166	0.000748242	0.00186409	196	123	59	250
0.0018775	0.0014157	0.00122288	0.00170485	231	136	86	160
0.00172136	0.00133701	0.00151628	0.0016666	297	49	127	199
0.00113059	0.00137004	0.000906769	0.00141149	172	53	53	204
0.00167273	0.00153958	0.000887389	0.00190697	134	156	125	172
0.00194595	0.00128386	0.00121489	0.00198379	168	83	100	211
0.00172895	0.00136082	0.00145625	0.00159313	124	137	71	161
0.00162645	0.00136947	0.00037492	0.00165687	57	170	33	251
0.00165749	0.00104861	0.00123593	0.00174654	139	69	80	322
0.00138166	0.0016505	0.00141554	0.00161709	165	109	95	96
0.00160956	0.00114242	0.00117756	0.00165078	256	75	91	204
0.00160688	0.00102055	0.000416147	0.00176095	51	109	57	321
0.00135796	0.00147823	0.000714625	0.00165058	144	120	51	125
0.00149247	0.00184422	0.00123062	0.00185566	181	68	88	126
0.00153024	0.00144275	0.00116433	0.00192427	51	28	75	450
0.00162303	0.00119731	0.00154292	0.00189254	189	58	38	176
0.000882015	0.00134252	0.00157297	0.00152251	63	115	186	238
0.0015617	0.00119694	0.00108401	0.00165354	148	71	72	147
0.00117857	0.000862757	0.000673996	0.00142167	117	36	161	185
0.00162917	0.00144632	0.000717092	0.00181903	352	78	56	212
0.00147801	0.00104247	0.000371484	0.00157252	163	57	45	223
0.00171623	0.00104944	0.00123688	0.00161332	187	56	87	327
0.00172569	0.00138902	0.00118712	0.0017163	142	47	108	83
0.000993591	0.000800327	0.000590122	0.00157729	79	76	51	265
0.00123306	0.00158928	0.000171539	0.0019161	99	106	22	101
0.00171658	0.00174835	0.00109841	0.00181084	58	130	93	234
0.00160143	0.00154592	0.00130224	0.00190621	179	66	98	230
0.00115866	0.00133509	0.000995551	0.0015303	145	98	59	204
0.00143708	0.0012129	0.00140359	0.00196701	192	30	174	345
0.00166563	0.0010378	0.000460193	0.00187288	240	84	40	294
0.00188181	0.000426314	0.000614992	0.00176496	186	41	172	264
0.00146781	0.00135658	0.000589426	0.00149535	126	73	57	250
0.000839046	0.000879364	0.000463964	0.00116428	157	76	23	178
0.00128296	0.00114454	0.000536874	0.00138384	267	150	40	298
0.00175817	0.001595	0.000934467	0.00196441	90	37	115	169
0.00150548	0.00169626	0.000809139	0.00169556	133	211	185	171
0.00150719	0.00177623	0.00115107	0.00192243	88	75	96	218
0.000853757	0.00110795	0.0010814	0.0013107	151	41	171	195
0.00178989	0.00169686	0.00124806	0.00159838	172	124	85	112
0.00149101	0.000849462	0.00106867	0.00181242	190	60	150	163
0.00157672	0.00131086	0.00066229	0.00162119	280	104	127	284
0.00167954	0.00134838	0.000409408	0.0018848	182	129	86	222
0.00143132	0.00132522	0.00103587	0.00145769	242	40	21	210
0.00118134	0.00141799	0.00102438	0.00160132	163	55	64	342
0.00177768	0.000996402	0.001211	0.00181463	115	58	74	187
0.00153184	0.00149504	0.000966117	0.00168594	145	42	91	291
